品类,类型,名称,性味,神农本草经文,功效与主治
上品,植物,白蒿,味甘平。,主五脏邪气，风寒温痹，补中益气，长毛发，令黑，疗心悬，少食，常饥。久服，轻身，耳目聪明，不老。生川泽。,
上品,植物,赤箭,味辛温。,主杀鬼，精物蛊毒恶气。久服益气力，长阴，肥健，轻身，增年。一名离母，一名鬼督邮。生川谷。,
上品,植物,析蓂子,味辛微湿。,主明目，目痛泪出，除痹，补五脏，益精光。久服，轻易不老。一名蔑析，一名大蕺，一名马辛。生川泽及道旁。,
上品,植物,蓍实,味苦平。,主益气，充肌肤，明目，聪慧先知。久服，不饥不老，轻身。生山谷。,
上品,植物/全草类,卷柏,味辛温。,生山谷。主五脏邪气，女子阴中寒热，痛，症瘕，血闭，绝子。久服轻身，和颜色。一名万岁。生山谷石间。,生用破血，炒用止血。生用治经闭、癥瘕，跌打损伤，腹痛，哮喘；炒炭用治吐血，便血，尿血，脱肛。（孕妇忌服）
上品,植物,蓝实,味苦寒。,主解诸毒，杀蛊蚑，注鬼，螫毒。久服，头不白，轻身。生平泽。,
上品,植物,芎,味辛温。,主中风入脑，头痛，寒痹，筋挛，缓急，金创，妇人血闭，无子。生川谷。,
上品,植物,蘼芜,味辛温。,主咳逆，定惊气，辟邪恶，除蛊毒鬼注，去三虫，久服通神。一名薇芜。生川泽。,
上品,植物,黄连,味苦寒。,主热气，目痛，眦伤，泣出，明目，肠澼，腹痛，下利，妇人阴中肿痛。久服，令人不忘。一名王连。生川谷。,
上品,植物,络石,味苦温。,主风热，死肌，痈伤，口干舌焦，痈肿不消，喉舌肿，水浆不下。久服，轻身明目，润泽，好颜色，不老延年。一名百鲮。生川谷。,
上品,植物,蒺藜子,味苦温。,主恶血，破症结积聚，喉痹，乳难。久服，长肌肉，明目轻身。一名旁通，一名屈人，一名止行，一名豺羽，一名升推。生平泽，或道旁。,
上品,植物,黄耆,味甘微温。,主痈疽久败创，排脓止痛，大风，痢疾，五痔，鼠瘘，补虚，小儿百病。一名戴糁。生山谷。,
上品,植物,肉松蓉,味甘微温。,主五劳七伤，补中，除茎中寒热痛，养五脏，强阴，益精气，多子，妇人症瘕。久服轻身。生山谷。,
上品,植物,防风,味甘温，无毒。,主大风，头眩痛，恶风，风邪，目盲无所见，风行周身，骨节疼痹，烦满。久服轻身。一名铜芸。生川泽。,
上品,植物/花类/花类,蒲黄,味甘平。,主心腹膀胱寒热，利小便，止血，消淤血。久服，轻身益气力，延年神仙。生池泽。,凉血止血，活血消瘀。生用治经闭腹痛，产后瘀阻作痛，跌扑血闷，疮疖肿毒；炒黑止吐血，衄血，崩漏，泻血，尿血，血痢，带下；外治重舌，口疮，聤耳流脓，耳中出血，阴下湿痒。 
上品,植物,香蒲,味甘平。,主五脏，心下邪气，口中烂臭，坚齿明目聪耳。久服轻身耐老。一名睢。生池泽。,
上品,植物,续断,味苦微温。,主伤寒，补不足，金创痈伤，折跌，续筋骨，妇人乳难。久服益气力。一名龙豆，一名属折。生山谷。,
上品,植物,漏芦,味苦咸寒。,主皮肤热，恶创，疽痔，湿痹，下乳汁。久服轻身益气，耳目聪明，不老延年。一名野兰。生山谷。,
上品,植物,营实,味酸温。,主痈疽恶创，结肉，跌筋，败创，热气，阴蚀不疗，利关节。一名墙薇，一名墙麻，一名牛棘。生川谷。,
上品,植物,天名精,味甘寒。,主淤血，血瘕欲死，下血，止血，利小便。久服轻身耐老。一名麦句姜，一名虾蟆蓝，一名豕首。生川泽。,
上品,植物,决明子,味咸平。,主青盲，目淫，肤赤，白膜，眼赤痛，泪出。久服益精光，轻身。生川泽。,
上品,植物,丹参,味苦微寒。,主心腹邪气，肠鸣幽幽如走水，寒热积聚，破症除瘕，止烦满，益气。一名却蝉草。生川谷。,
上品,植物,茜根,味苦寒。,主寒湿，风痹，黄疽，补中。生川谷。,
上品,植物,飞廉,味苦平。,主骨节热，胫重酸疼。久服，令人身轻。一名飞轻。生川泽。,
上品,植物/果实种子类,五味子,味酸温。,主益气，咳逆上气，劳伤羸瘦，补不足，强阴，益男子精。生山谷。,敛肺，滋肾，生津，收汗，涩精。治肺虚喘咳，口干作渴，自汗，盗汗，劳伤羸瘦，梦遗滑精，久泻久痢。（外有表邪，内有实热，或咳嗽初起、痧疹初发者忌服）
上品,植物,旋华,味甘温。,主益气，去面皯，黑，色媚好，其根，味辛，主腹中寒热邪气，利小便。久服不饥轻身。一名筋根华，一名金沸。生平泽。,
上品,植物,兰草,味辛平。,主利水道，杀蛊毒，辟不祥。久服，益气轻身，不老，通神明。一名水香。生池泽。,
上品,植物/果实种子类,蛇床子,味苦平。,主妇人阴中肿痛，男子阴痿，湿痒，除痹气，利关节，癫痫恶创。久服轻身。一名蛇米。生川谷及田野。,温肾助阳，祛风，燥湿，杀虫。治男子阳痿，阴囊湿痒，女子带下阴痒，子宫寒冷不孕，风湿痹痛，疥癣湿疮。（下焦有湿热，或肾阴不足，相火易动以及精关不固者忌服）
上品,植物/果实种子类,地肤子,味苦寒。,主旁光热，利小便，补中益精气。久服，耳目聪明，轻身耐老。一名地葵。生平泽及田野。,利小便，清湿热。治小便不利，淋病，带下，疝气，风疹，疮毒，疥癣，阴部湿痒。（恶螵蛸）
上品,植物,景天,味苦平。,主大热，火创，身热，烦邪恶气，华主女人漏下赤白，轻身明目。一名戒火，一名慎火。生川谷。,
上品,植物,杜若,味辛微温。,主胸胁下逆气，温中，风入脑户，头肿痛，多涕泪出。,
上品,植物,沙参,味苦微寒。,主血积惊气，除寒热，补中，益肺气。久服利人。一名知母。生川谷。,
上品,植物,白兔藿,味苦平。,主蛇虺，蜂虿，猘狗，菜肉蛊毒注。一名白葛。生山谷。,
上品,植物,徐长卿,味辛温。,主鬼物，百精，蛊毒，疫疾邪恶气，温疟。久服，强悍轻身。一名鬼督邮。生山谷。,
上品,植物,石龙刍,味苦微寒。,主心腹邪气，小便不利，淋闭，风湿，鬼注，恶毒。久服，补虚羸，轻身，耳目聪明，延年。一名龙须，一名草续断，一名龙珠。生山谷。,
上品,植物,薇衔,味苦平。,主风湿痹，历节痛，惊痫，吐舌，悸气，贼风，鼠瘘，痈肿。一名糜衔。生川泽。,
上品,植物,云实,味辛温。,主泄利，肠澼，杀虫，蛊毒，去邪毒结气，止痛除热，平主见鬼精物，多食令人狂走。久服，轻身通神明。生川谷。,
上品,植物/果实种子类,王不留行,味苦平。,主金创，止血逐痛，出刺，除风痹内寒。久服，轻身耐老，增寿。生山谷。,行血通经，催生下乳，消肿敛疮。治妇女经闭，乳汁不通，难产，血淋，痈肿，金疮出血。 
上品,植物,升麻,味甘辛。,主解百毒，杀百老物殃鬼，辟温疾，障，邪毒蛊。久服不夭。一名周升麻。生山谷。,
上品,植物,青蘘,味甘寒。,主五脏邪气，风寒湿痹，益气，补脑髓，坚筋骨。久服耳目聪明，不饥不老，增寿，巨胜苗也。生川谷。,
上品,植物,姑活,味甘温。,主大风邪气，湿痹寒痛。久服轻身益寿耐老。一名冬葵子。,
上品,植物,别羁,味苦微温。,主风寒湿痹，身重，四肢疼酸，寒邪，历节痛。生川谷。,
上品,植物,屈草,味苦。,主胸胁下痛，邪气，腹问寒热阴痹。久服，轻身益气，耐老。生川泽。,
上品,植物,淮木,味苦平。,主久咳上气，肠中虚羸，女子阴蚀，漏下赤白沃。一名百岁城中木。生山谷。,
上品,植物,牡桂,味辛温。,主上气咳逆，结气喉痹，吐吸，利关节，补中益气。久服通神，轻身不老。生山谷。,
上品,植物,菌桂,味辛，温。,主百病，养精神，和颜色，为诸药先聘通使。久服轻身不老，面生光华，媚好常如童子。生山谷。,
上品,植物,松脂,味苦温。,主疽，恶创头疡，白秃，疥搔，风气，五藏，除热。久服，轻身不老，延年。一名松膏，一名松肪。生山谷。,
上品,植物,槐实,味苦寒。,主五内邪气热，止涎唾，补绝伤，五痔，火创，妇人乳瘕，子藏急痛。生平泽。,
上品,植物,枸杞,味苦寒。,主五内邪气，热中，消渴，周痹。久服，坚筋骨，轻身不老。一名杞根，一名地骨，一名枸忌，一名地辅。生平泽。,
上品,植物,柏实,味甘平。主惊悸，安五藏，益气，除湿痹。久服，令人悦泽美色，耳目聪明，不饥不老，轻身延年。生山谷。,《名医》曰：生太山，柏叶尤良，田四时各依方面采，阴干。,
上品,植物,伏苓,味甘平。,主胸胁逆气，忧恚，惊邪，恐悸，心下结痛，寒热烦满，咳逆，口焦舌干，利小便。久服安魂养神，不饥延年。一名茯菟，生山谷。,
上品,植物,榆皮,味甘平。,主大小便不通，利水道，除邪气，久服，轻身不饥，其实尤良。一名零榆。生山谷。,
上品,植物,酸枣,味酸平。,主心腹寒热，邪结气聚，四肢酸疼，湿痹。久服安五藏，轻身延年。生川泽。,
上品,植物,蘖木,味苦寒。,主五藏，肠胃中结热，黄疸，肠痔，止泄利，女子漏下赤白，阴阳蚀创。一名檀桓。生山谷。,
上品,植物/树脂类,干漆,味辛温无毒。,主绝伤补中，续筋骨填髓脑，安五藏，五缓六急，风寒湿痹，生漆去长虫。久服轻身耐老。生川谷。,破瘀，消积，杀虫。治妇女经闭，癥瘕，瘀血，虫积。（孕妇及体虚无瘀者均宜慎服）
上品,植物,五加皮,味辛温。,主心腹疝气，腹痛，益气疗躄，小儿不能行，疸创阴蚀。一名豺漆。,
上品,植物,蔓荆实,味苦微寒。,主筋骨间寒热痹，拘挛，明目坚齿，利九窍，去白虫。久服轻身耐老，小荆实亦等。生山谷。,
上品,植物,辛夷,味辛温。,主五脏，身体寒风，头脑痛，面皯。久服，下气轻身，明目，增年耐老。一名辛矧，一名侯桃，一名房木。生川谷。,
上品,植物,桑上寄生,味苦平。,主腰痛，小儿背强，痈肿，安胎，充肌肤，坚发齿，长须眉，其实明目，轻身通神。一名寄屑，一名寓木，一名宛童。生川谷。,
上品,植物,杜仲,味辛平。,主腰脊痛，补中，益精气，坚筋骨，强志，除阴下痒湿，小便余沥。久服轻身耐老。一名思仙。生山谷。,
上品,植物,女贞实,味苦平。,主补中，安五藏，养精神，除百疾。久服肥健，轻身不老。生山谷。,
上品,植物,木兰,味苦寒。,主身大热在皮肤中，去面热，赤疱，酒皶，恶风瘨疾，阴下痒湿，明耳目。一名林兰。生川谷。,
上品,植物,蕤核,味甘温。,主心腹邪气，明目，目赤痛伤泪出。久服轻身益气，不饥。生川谷。,
上品,植物,橘柚,味辛温。,主胸中瘕热逆气，利水谷。久服，去臭下气通神，一名橘皮。生川谷。,
上品,植物,藕实茎,味甘平。,主补中养神，益气力，除百疾。久服，轻身耐老，不饥延年。一名水芝丹。生池泽。,
上品,植物/果实种子类,大枣,味甘平。,主心腹邪气，安中养脾肋十二经，平胃气，通九窍，补少气，少津液，身中不足，大惊，四肢重，和百药。久服轻身长年，叶覆麻黄，能令出汗。生平泽。,补脾和胃，益气生津，调营卫，解药毒。治胃虚食少，脾弱便溏，气血津液不足，营卫不和，心悸怔忡。妇人赃躁。（凡有湿痰、积滞，齿病、虫病者，均不相宜）
上品,植物,葡萄,味甘平。,主筋骨湿痹，益气，倍力，强志，令人肥健，耐饥忍风寒。久食轻身，不老延年，可作酒。生山谷。《名医》曰：生陇西五原敦煌。,
上品,植物,蓬蔂,味酸平。,主安五脏，益精气，长阴令坚，强志，倍力有子。久服轻身不老。一名覆盆。生平泽。,
上品,植物,鸡头实,味甘平。,主湿痹，腰脊膝痛，补中除暴疾，益精气，强志令耳目聪明。久服，轻身不饥，耐老，神仙。一名雁啄实。生池泽。,
上品,植物,胡麻,味甘平。,主伤中虚羸，补五内，益气力，长肌肉，填髓脑。久服，轻身不老。一名巨胜。叶名青雚。生川泽。,
上品,植物,麻贲,味辛平。,主五劳七伤，利五藏，下血，寒气，多食，令人见鬼狂走。久服，通神明，轻身。一名麻勃。麻子，味甘平，主补中益气，肥健不老神仙。生川谷。,
上品,植物/果实种子类,冬葵子,味甘寒。,主五脏六腑，寒热羸瘦，五癃，利小便。久服坚骨长肌肉，轻身延年。,利水，滑肠，下乳。治二便不通，淋病，水肿，妇女乳汁不行，乳房肿痛。（脾虚肠滑者忌服，孕妇慎服）
上品,植物,苋实,味甘寒。,主青盲，明目除邪，利大小便，去寒热。久服，益气力，不饥，轻身。一名马苋。,
上品,植物,瓜蒂,味苦寒。,主大水身面四肝浮肿，下水，杀蛊毒，咳逆上气，及食诸果，病在胸腹中，皆吐下之。生平泽。,
上品,植物,瓜子,味甘平。,主令人说泽，好颜色，益气不饥。久服轻身耐老。一名水芝。生平泽。,
上品,植物,苦菜,味苦寒。,主五脏邪气，厌谷，胃痹。久服，安心益气，聪察少卧，轻身耐老。一名荼草，一名选。生川谷。,
下品,植物,附子,味辛温。,主风寒咳逆邪气，温中，金创，破症坚积聚，血瘕，寒温，踒。躄拘挛，脚痛，不能行步。生山谷。,
下品,植物,乌头,味辛温。,主中风，恶风，洗洗，出汗，除寒湿痹，咳逆上气，破积聚，寒热。其汁煎之，名射罔，杀禽兽。一名奚毒，一名即子，一名乌喙。生山谷。,
下品,植物,天雄,味辛温。,主大风，寒湿痹，沥节痛，拘挛，缓急，破积聚，邪气，金创，强筋骨，轻身健行。一名白幕。生山谷。,
下品,植物,半夏,味辛平。,主伤寒，寒热，心下坚，下气，喉咽肿痛，头眩胸张，咳逆肠鸣，止汗。一名地文，一名水玉。生川谷。,
下品,植物,虎掌,味苦温。,主心痛，寒热，结气，积聚，伏梁，伤筋，痿，拘缓，利水道。生山谷。,
下品,植物,鸢尾,味苦平。,主蛊毒邪气，鬼注，诸毒，破症瘕积聚，去水，下三虫。生山谷。,
下品,植物,大黄,味苦寒。,主下淤血，血闭，寒热，破症瘕积聚，留饮，宿食，荡涤肠胃，推陈致新，通利水杀，调中化食，安和五脏。生山谷。,
下品,植物,桔梗,味辛微温。,主胸胁痛如刀刺，腹满，肠鸣，幽幽惊恐悸气。生山谷。,
下品,植物,莨荡子,味苦寒。,主齿痛出虫，肉痹，拘急，使人健行，见鬼，多食令人狂走。久服轻身，走及奔马，强志益力通神。一名横唐。生川谷。,
下品,植物,草蒿,味苦寒。,主疥搔，痂痒，恶创，杀虫，留热在骨节间。明目。一名青蒿，一名方溃。生川泽。,
下品,植物,旋复花,味咸温。,主结气，胁下满，惊悸，除水，去五脏间寒热，补中下气。一名金沸草，一名盛椹。生川谷。,
下品,植物,射干,味苦平。,主咳逆上气，喉痹咽痛不得消息，散急气，腹中邪逆，食饮大热。一名乌扇，一名乌蒲。生川谷。,
下品,植物,蜀漆,味辛平。,主疟及咳逆，寒热，腹中症坚，痞结，积聚邪气，蛊毒，鬼注。生川谷。,
下品,植物,甘遂,味苦寒。,主大腹疝瘕，腹满，面目浮肿，留饮宿食，破症坚积聚，利水谷道。一名主田。生川谷。,
下品,植物,白敛,味苦平。,主痈肿疽创，散结气，止痛除热，目中赤，小儿惊痫，温疟，女子阴中肿痛。一名免核，一名白草，生山谷。,
下品,植物,青葙子,味苦微寒。,主邪气，皮肤中热，风搔，身痒，杀三虫，子名草决明，疗唇口青。一名青蒿，一名萋蒿。生平谷。,
下品,植物,雚菌,味咸平。,主心痛，温中，去长患，白疭，蛲虫，蛇螫毒，症瘕，诸虫。一名雚芦。生池泽。,
下品,植物,大戟,味苦寒。,主蛊毒，十二水肿，满，急痛，积聚，中风，皮肤疼痛，吐逆。一名印巨。,
下品,植物/全草类,泽漆,味苦微寒。,主皮肤热，大腹，水气，四肢面目浮肿，丈夫阴气不足。生川泽。,行水，消痰，杀虫，解毒。治水气肿满，痰饮喘咳，疟疾，菌痢，瘰疬，癣疮，结核性痿管，骨髓炎。
下品,植物,茵芋,味苦温。,主五藏邪气，心腹寒热，赢瘦如疟状，发作有时，诸关节风湿痹痛。生川谷。,
下品,植物,贯众,味苦微寒。,主腹中邪，热气，诸毒，杀三虫。一名贯节，一名贯渠，一名百头，一名虎卷，一名扁符。生山谷。,
下品,植物,荛花,味苦平寒。,主伤寒温疟，下十二水，破积聚，大坚，症瘕，荡涤肠胃中留癖饮食，寒热邪气，利水道。生川谷。,
下品,植物,牙子,味苦寒。,主邪气热气，疥搔，恶疡，创痔，去白虫。一名狼牙。生川谷。,
下品,植物,羊踯躅,味辛温。,主贼风在皮肤中，淫淫痛，温疟。恶毒，诸痹。生川谷。,
下品,植物,商陆,味辛平。,主水张疝瘕痹，熨除痈肿，杀鬼精物，一名根，一名夜呼。生川谷。,
下品,植物,羊蹄,味苦寒。,主头秃疥搔，除热，女子阴蚀。一名东方宿，一名连虫陆，一名鬼目。生川泽。,
下品,植物,萹蓄,味辛平。,主浸淫，疥搔疽痔，杀三虫。生山谷。,
下品,植物,狼毒,味辛平。,主咳逆上气，破积聚饮食，寒热，水气恶创，鼠瘘，疽蚀，鬼精，蛊毒，杀飞鸟走兽。一名续毒。生山谷。,
下品,植物,白头翁,味苦温。,主温疟，狂易，寒热，症瘕积聚，瘿气，逐血，止痛，疗金疮。一名野丈人，一名胡王使者。生山谷。,
下品,植物,鬼臼,味辛温。,主杀蛊毒鬼注，精物，辟恶气不祥，逐邪，解百毒。一名爵犀，一名马目毒公，一名九臼。生山谷。,
下品,植物,羊桃,味苦寒。,主熛热，身暴赤色，风水积聚，恶疡，除小儿热。一名鬼桃，一名羊肠。生川谷。,
下品,植物,女青,味辛平。,主蛊毒，逐邪恶气，杀鬼温疟，辟不祥。一名雀瓢。,
下品,植物/果实种子类,连翘,味苦平。,主寒热，鼠瘘，瘰疬，痈肿，恶创，瘿瘤，结热，蛊毒。一名异翘，一名兰华，一名轵，一名三廉。生山谷。,清热，解毒，散结，消肿。治温热，丹毒，斑疹，痈疡肿毒，瘰疬，小便淋闭。（脾胃虚弱，气虚发热，痈疽已溃、脓稀色淡者忌服）
下品,植物,乌韭,味甘寒。,主皮肤往来寒热，利小肠膀胱气。生山谷石上。,
下品,植物,鹿藿,味苦平。,主蛊毒，女子腰腹痛，不乐肠痈，瘰疠，疡气。生山谷。,
下品,植物,蚤休,味苦微寒。,主惊痫，摇头弄舌，热气在腹中，瘨疾，痈创，阴蚀，下三虫，去蛇毒。一名蚩休。生川谷。,
下品,植物,石长生,味咸微寒。,主寒热，恶创，火热，辟鬼气不祥。一名丹草。生山谷。,
下品,植物,陆英,味苦寒。,主骨间诸痹，四肢拘挛，疼酸，膝寒痛，阴痿，短气，不足，脚肿。生川谷。,
下品,植物,荩草,味苦平。,主久咳上气喘逆，久寒，惊悸，痂疥，白秃，疡气，杀皮肤小虫。生川谷。,
下品,植物,牛扁,味苦微寒。,主身皮创，热气，可作浴汤，杀牛虱小虫，又疗牛病。生川谷。,
下品,植物/全草类,夏枯草,味苦辛、寒。,热瘰疬，鼠瘘，头创，破症，散瘿，结气，脚肿，湿痹，轻身。一名夕句，一名乃东。生川谷。,清肝，散结。治瘰疬，瘿瘤，乳痈，乳癌，目珠夜痛，羞明流泪，头目眩晕，口眼歪斜，筋骨疼痛，肺结核，急性黄疸型传染性肝炎，血崩，带下。（脾胃虚弱者慎服）
下品,植物,芫华,味辛温。,主咳逆上气，喉鸣，喘咽肿，短气，蛊毒，鬼疟，疝瘕，痈肿，杀虫鱼。一名去水。生川谷。,
下品,植物/果实种子类,巴豆,味辛温。,主伤寒，温疟，寒热，破症瘕结聚，坚积，留饮，淡癖，大腹水张，荡练五藏六府，开通闭塞，利水谷道，去恶内，除鬼毒蛊注邪物，杀虫鱼，一名巴叔，生川谷。,泻寒积，通关窍，逐痰，行水，杀虫。治冷积凝滞，胸腹胀满急痛，血瘕，痰癖，泻痢，水肿，外用治喉风，喉痹，恶疮疥癣。（无寒实积滞、孕妇及体弱者忌服）
下品,植物,蜀菽,味辛温。,主邪气咳逆，温中，逐骨节，皮肤死肌，寒湿，痹痛，下气，久服之，头不白，轻身增年，生川谷。,
下品,植物,皂荚,味辛咸温。,主风痹，死肌，邪气，风头，泪出，利九窍，杀精物。生川谷。,
下品,植物,柳华,味苦寒。,主风水黄疸，面热黑。一名柳絮。叶主马疥痂创。实主溃痈，逐脓血。子汁疗渴。生川泽。,
下品,植物,楝实,味苦寒。,主温疾伤寒，大热烦狂，杀三虫疥疡利，小便水道。生山谷。,
下品,植物/果实种子类,郁李仁,味酸平。,主大腹水肿，面目四肢浮肿、利小便水道。根，主齿龈肿，龋齿。一名爵李。生坚齿川谷。,润燥，滑肠，下气，利水。治大肠气滞，燥涩不通，小便不利，大腹水肿，四肢浮肿，脚气。（阴虚液亏及孕妇慎服）
下品,植物,莽草,味辛温。,主风头痈肿，乳痈，疝瘕，除结气疥搔，杀虫鱼。生山谷。,
下品,植物,桐叶,味苦寒。,主恶蚀，创着阴皮，主五痔，杀三虫。华主传猪创，饲猪，肥大三倍。生山谷。,
下品,植物,梓白皮,味苦寒。,主热，去三虫，叶捣传猪创，饲猪肥大三倍，生山谷。,
下品,植物,石南,味辛苦。,主养肾气，内伤，阴衰，利筋骨皮毛。实，杀蛊毒，破积聚，逐风痹。一名鬼目。生山谷。,
下品,植物,黄环,味苦平。,主蛊毒鬼注，鬼魅，邪气在臧中，除咳逆寒热。一名凌泉，一名大就。生山谷。,
下品,植物,溲疏,味辛寒。,主身皮肤中热，除邪气，止遗溺，可作浴汤。生山谷，及田野故邱虚地。,
下品,植物,药实根,味辛温。,主邪气，诸痹疼酸，续绝伤，补骨髓。一名连木。生山谷。,
下品,植物,栾华,味苦寒。,主目痛泪出，伤眦，消目肿，生川谷。,
下品,植物,蔓椒,味苦温。,主风寒湿痹，疬节疼，除四肢厥气，膝痛。一名家椒。生川谷及邱家间。,
下品,植物,桃核仁,味苦平。,主淤血，血闭瘕邪，杀小虫。桃花杀注恶鬼，令人好颜色。,
下品,植物,杏核仁,味甘温。,主咳逆上气，雷呜，喉痹下气，产乳，金创，寒心，贲豚，生川谷。,
下品,植物,腐婢,味辛平。,主痎疟，寒热，邪气，泄利，阴不起，病酒，头痛。生汉中。,
下品,植物,苦瓠,味苦寒。,主大水，面目四肢浮肿，下水，令人吐。生川泽。,
下品,植物,水靳,味甘平。,主女子赤沃，止血养精，保血脉，益气，令人肥健，嗜食。一名水英，生池泽。,
下品,植物,彼子,味甘温。,主腹中邪气，去三虫，蛇螫，蛊毒，鬼注，伏尸。生山谷。,
中品,植物,桑根白皮,味甘寒。,主伤中，五劳六极，羸瘦，崩中，脉绝，补虚益气。,
中品,植物,竹叶,味苦平。,主咳逆上气溢筋急，恶疡，杀小虫。,
中品,植物/果实种子类,吴茱萸,味辛温。,主温中，下气，止痛，咳逆，寒热，除湿血痹，逐风邪，开凑理根杀三虫。一名藙。生山谷。,温中，止痛，理气，燥湿，治呕逆吞酸，厥阴头痛，脏寒吐泻，脘腹胀痛，经行腹痛，五更泄泻，高血压症，脚气，疝气，口疮溃疡，齿痛，湿疹，黄水疮。
中品,植物/果实种子类,栀子,味苦寒。,主五内邪气，胃中热气面赤，酒炮，皶鼻，白赖，赤癞，创疡。一名木丹。生川谷。,清热，泻火，凉血。治热病虚烦不眠，黄疸，淋病，消渴，目赤，咽痛，吐血，衄血，血痢，尿血，热毒疮疡，扭伤肿痛。
